"CPUName","CPUPrice","CPUScore"
"Intel Xeon W-11955M @ 2.60GHz",623,22596
"Intel Core i7-12650H",457,22564
"AMD Ryzen 7 3700X",92.96,22543
"Intel Core i7-11700B @ 3.20GHz",NA,22535
"AMD Ryzen 9 5900HX",NA,22533
"Intel Core i9-10900KF @ 3.70GHz",249,22518
"Intel Xeon E-2436",319,22487
"Intel Core i9-10900X @ 3.70GHz",565,22477
"AMD Ryzen 7 5700GE",NA,22436
"Intel Xeon W-1290P @ 3.70GHz",649.4,22435
"Intel Core i9-10850K @ 3.60GHz",275,22377
"Intel Xeon W-2255 @ 3.70GHz",830.31,22369
"AMD Ryzen 5 PRO 8500G",NA,22362
"Intel Core Ultra 5 125H",NA,22299
"Intel Core i5-12600H",311,22285
"Intel Xeon E5-2699C v4 @ 2.20GHz",NA,22283
"Intel Core i9-11900F @ 2.50GHz",229.99,22281
"AMD Ryzen 7 PRO 6850HS",NA,22259
"Apple M4 9 Core",NA,22259
"AMD Ryzen 5 PRO 8500GE",NA,22195
"AMD Ryzen 7 7736U",NA,22195
"Intel Xeon Gold 6132 @ 2.60GHz",69,22180
"Intel Xeon Silver 4310 @ 2.10GHz",486.57,22146
"Intel Xeon E5-2696 v3 @ 2.30GHz",546.99,22140
"AMD Ryzen 9 5900HS Creator Edition",NA,22138
"Apple M1 Max 10 Core 3200 MHz",NA,22075
"AMD Ryzen Threadripper 1920",NA,22066
"Qualcomm Snapdragon X Plus X1P-64-100",NA,22050
"AMD Ryzen 5 PRO 8640HS",NA,22041
"AMD Ryzen 5 5600X3D",NA,21953
"AMD Ryzen 5 PRO 5645",NA,21904
"AMD Ryzen 5 5600X",118.98,21888
"AMD Ryzen 7 PRO 5750GE",NA,21888
"Apple M1 Pro 10 Core 3200 MHz",NA,21863
"Intel Core i9-9900X @ 3.50GHz",301.97,21851
"Intel Xeon Gold 6262 @ 1.90GHz",NA,21823
"Intel Core Ultra 7 256V",NA,21811
